tweetcreatedts,username,location,retweetcount,text,hashtags
2021-07-08 23:59:59,poldajateng_,,8,Penerapan PPKM Darurat dan Penertiban Pedagang Kaki Lima di Wilayah Kabupaten Purbalingga https://t.co/y6kgSeSjZR,[]
2021-07-08 23:59:58,kangprabuHeru,"Bandung, Jawa Barat",1,"PPKM sampe tagal 20  bantuan kagak ada Rakyat di kurung yg cari makan di denda . Tp mereka yg punya jabataan enak diem di rmh juga udh di gaji ma negara.

#LockdownJokowi
#LockdownJokowi","[{'text': 'LockdownJokowi', 'indices': [155, 170]}, {'text': 'LockdownJokowi', 'indices': [171, 186]}]"
2021-07-08 23:59:57,Pakdhe86238984,,0,@Bang_Garr Alhamdulillah dapat tunjangan PPKM dari lapak @Bang_Garr  semoga berkah.... aamiin ya rabbal'alamin,[]
2021-07-08 23:59:56,yunsharunca37,,0,"INFO POLRI
PPKM Darurat sesuai Inmendagri 15, tahun 2021. Dimana resepsi pernikahan dihadiri maksimal 30( tiga puluh) orang dengan kesehatan secara lebih ketat dan tidak menerapkan makan ditempat resepsi, penyediaan makanan hanya diperbolehkan dalam tempat tertutup https://t.co/yGjVRts5cl",[]
2021-07-08 23:59:53,sigap88,"Raya Dukuh Kupang Barat 103 A,",0,Kapolsek Kangean Hadiri Rakor PPKM Darurat https://t.co/AF1uMP6mIC,[]
2021-07-08 23:59:50,suryostories,Semarang,0,"Maksimalkan PPKM Darurat, Bupati Bogor Keluarkan Tujuh Instruksi – https://t.co/IBWuQdMMUf https://t.co/TigyoiXyto",[]
2021-07-08 23:59:45,WinModerat, Indonesia,0,Walah...lgi PPKM DARURAT ngadain kegiatan offline https://t.co/PKh30jSwoG,[]
2021-07-08 23:59:20,opsiin,Indonesia,0,"Tukang Bubur Kena Denda PPKM Rp 5 Juta, Sempat Cari Pinjaman untuk Bayar, Kini Malah Diberi Bantuan – TRIBUNNEWS- https://t.co/AcD2Ls9g8B https://t.co/5FF55rCUfi",[]
2021-07-08 23:59:20,Terompah12,,1,"Rakyat disuruh patuh prokes, pemerintah abai urus hajat hidup rakyat yang terdampak. 

Menghindari kata ""lockdown"", menggantinya dari psbb menjadi ppkm, dst. 

Hingga sekarang ini orang² itu masih dengan pedenya bahwa caranya ampuh. 

#LengserkanPakLurah
#LengserkanPakLurah https://t.co/zWSRJnq6mw","[{'text': 'LengserkanPakLurah', 'indices': [235, 254]}, {'text': 'LengserkanPakLurah', 'indices': [255, 274]}]"
2021-07-08 23:59:15,opsiin,Indonesia,0,"Terdampak PPKM Darurat, 121 Ribu Lebih Warga DIY Dapat BST Mulai Juli Ini- Opsi Flash https://t.co/BN79JXaCUC",[]
2021-07-08 23:59:02,pharhta,,0,"PPKM LAGI NI.
* yang barusan/mau nikah BLN ini      jangan berkembang biak dulu yaa
* takut nya kontrol hamil di kira covid soalnya mual mual 😆😇",[]
2021-07-08 23:59:01,apreiskagilang,"Surabaya, Indonesia",0,"PPKM dan di rumah gini mau gofood jg sungkan sm Abangnya, la wong jalannya tutupan kabeh 24 jam, kebijakan paling tidak bermutu,",[]
2021-07-08 23:59:00,opsiin,Indonesia,0,"Tukang Bubur Kena Denda PPKM Rp 5 Juta, Sempat Cari Pinjaman untuk Bayar, Kini Malah Diberi Bantuan – TRIBUNNEWS https://t.co/X08qrS3ESp",[]
2021-07-08 23:58:46,Ndons_Back,,54,"Tasikmalaya - 
“Saya menentang aturan PPKM ini, karena tidak berprikemanusian dan tidak berkerakyatan, saya menolak untuk tutup, saya sebagai pedagang kopi, petani kopi, tukang cimol, nasi goreng, tukang seblak menolak aturan ini,” kata Naza Fitri. https://t.co/bLbPEkedA0 https://t.co/41he4y9cQz",[]
2021-07-08 23:58:41,tepiairdotcom,,1,"Promo Menu Spesial PPKM Overhotyaa Ayam Kalasan Premium Untuk Delivery Online Only

Masa Pandemi seperti sekarang penting banget buat kamu jaga kesehatan, eitsss jangan sampe lupa makan yaaa!
Kata siapa di rumah aja ga bisa Makan Kenyang Hati Senang? Bis… https://t.co/EXPJkip5tz https://t.co/XEj1IfpGAt",[]
2021-07-08 23:58:35,xoxocholotepgst,"Jakarta Selatan, DKI Jakarta",0,"Yg pengabdi pada PPKM biar covid turun atau bilang ""Yuk biar cepet selesai yuk"" Selesai juga idup orang, boro"" diem dirumah buat makan sehari - hari aja harus liat pemasukan dari penjualan, kalau emng mau cepet selesai kenapa swab, vitamin, oksigen ga digratiskan?",[]
