text,context,intent,sentiment
"""Itu orangnya sis, yang ga percaya covid tapi ikut ngantri vaksin"" https://t.co/mxmBwDdUwQ",1,1,1
"ini masih pagi, mari lihat sisi baiknya aja namaste. ayah sama ibu bukan takut covidnya tp takut thdp sistem yg harus/akan dijalankan kalau kena covid (apalagi kl bergejala berat), well secara ga langsung ayah sama ibu sama-sama melindungi diri supaya ga kena/menyebarkan covid",3,0,2
@shabrisabi @AREAJULID Itu kenapa skrg namanya PPKM Dan gak pernah di beri nama karantina.. sehingga secara hukum terbebas dari kewajibannya.. pahit ? Banget...,0,1,1
"@CNNIndonesia Kami tidak butuh vaksin..kami butuh beras..Kami tidak mati karena terpapar,tapi mati karena lapar terkapar.tolong bantu kami bu/pak..negeri ini akan selalu kena bencana,selama air mata fakir miskin masih menetes karena teraniaya kelaparan..Allahu akbar..azab Allah bagi orang kaya",2,1,1
"@Dsinathrya @jokowi Percayalah yg skrg gratis nanti ujung2nya jg akan berbayar, paling mentok di subsidi kek bbm, karna vaksin tidak cukup sekali, akan terua berulang setiap tahun/2 tahun",1,0,2
KSAD: Besok Pagi Rumah Sakit Lapangan RSPAD Sudah Bisa Merawat Pasien Covid-19 https://t.co/UNNpWMhVhA,4,3,2
@kevsastra @muthiadila Ini juga jadi salah satu efek buruknya. Mau ngejelasin apa kita kalo ternyata vaksin malah jdi bahan jualan?,1,1,1
"Tua kalau perangai gangster kurang beradab, org muda pun sebenarnya boleh menegur dgn cara beradab. Tapi tahap kesabaran seseorang ada hadnya mcm kes Covid-19.",0,0,2
"surat keterangan vaksin gak berguna😂🙏🏼

semangat ya mentemen yg masih WFO setiap harinya🥲❤️❤️❤️ semoga kalian sehat selalu, maklumi peraturan yg plinplan ini ya.",0,1,1
"@addiems Vaksin Gotong Royong juga ada

Pancasila jadi Gotong Royong Eka Sila juga d pasarkan",1,0,2
"@PT_Transjakarta Min, STRP tuh apa? Bisa menunjukan surat Vaksin bagi orang non pekerja?",0,5,2
"jangan mau gak sih, bilang ke ortu mu. lagi ppkm gini juga bisa bisanya  . . ngga apa apa kok, kamu gak punya ttd mereka bukan berarti kamu gak bisa lulus. lihatlah aku, pas masuk sma dulu- orang ngejar osis buat ttd, lah aku milih beli es teh terus pulang. ✌🏻 https://t.co/J7qMgCuFVf",0,2,2
"Semua pihak harus bekerja sama, saling tolong menolong agar pandemi ini cepat berlalu #JokowiBerantasCovid https://t.co/3WUuUpQfdM",0,2,0
"Dampak PPKM Darurat, RI Sulit Capai Pertumbuhan Ekonomi di Atas 4% https://t.co/hav0V1ekF2",3,3,2
"@ne_deteur @RomitsuT Sorry bang. Saya salah satu penyintas covid. Dr lois sebagian teori dia benar. Keluarga saya juga penyintas covid. Semua sembuh dengan obat biasa dokter umum. Saya , ibu, adej, istri demam dan anosmia.",3,3,2
"@detikinet Kami tidak butuh vaksin..kami butuh beras..Kami tidak mati karena terpapar,tapi mati karena lapar terkapar.tolong bantu kami bu/pak..negeri ini akan selalu kena bencana,selama air mata fakir miskin masih menetes karena teraniaya kelaparan..Allahu akbar..azab Allah bagi orang kaya",2,1,1
Ketua DPD RI Minta Masyarakat Waspadai Varian Baru Virus Corona https://t.co/PmUVzegdlQ https://t.co/Jd0EULf8g9,0,3,2
Ini merupakan jumlah kematian harian tertinggi di Depok sepanjang pandemi. https://t.co/HyHAD5ditY,3,3,2
@UnihoneyFess Banyak Corona 🤣,3,4,2
PPKM : pernah peduli kemudian menghilang,3,4,2
"@hyunsuksess Belom, mau vaksin",1,4,2
PPKM begini pengin tinggi,3,4,2
"@KAI121 halo admin. Saya sedang ada perjalanan mendadak ke luar kota karena ada keluarga meninggal. Saya belum menerima vaksin karena jadwal vaksinasi saya tgl 22 Juli. Saya juga baru sempat swab antigen hari ini, apakah tidak apa2?",3,5,1
"@VeritasArdentur Setiap hari org2 pd ngumpul2 jg kok di berbagai tempat, kok pilihan tebakannya cuma ngumpul2 vaksin?",1,5,1
"@Umar_Chelsea_75 @berlianidris Knp yg jual vaksin ga ditangkap ya
Knp yg ambil dagangan dgn tameng ppkm ga ditangkap ya
@LsOwien keluar dari pakem yang emang sebagian rakyat rasakan
Ada dokter prosedural &amp; textbook
Semua berdasarkan data lab
Efeknya MAHAL
Ada dokter yg mengamati
Penanganan berdasarkan keluhan",2,1,1
Paru-paru sebelum diserang covid. https://t.co/HESoud80tj,3,3,2
@aegleeirene akuu punn pas corona 😔 gapapa yang penting sekarangg udaaa😭👍,3,4,2
@maulanadrii Benerrr trus batch vaksin per kuotanya kudu jelas dan ada auditnya dll ntar diperjualbelikan illegal atau vaksin palsu kan berabe… gabisa spontan juga,1,2,2
