text,context,intent,sentiment
PPKM = Pelan Pelan Kita Melebar,3.0,4.0,2.0
"KAGET PAS NANYA MAMA HR INI, ""Ma anak2 muridnya di test swab dlu ga sebelum masuk sekolah?"" ""ga ada"" ""apa mereka udh divaksin?"" ""belum, nanti baru mau kerjasama sama yg terkait buat vaksin"" I WAS LIKE😳😲",1.0,4.0,2.0
"@Ngennez @MawarSolitaire Ngurus rakyat sendiri yg kena covid aja ga mampu, ini malah ngurus TKA, org Indonesia udah ga boleh masuk di negara kain, negara kita malah nampungin org yg copid",0.0,1.0,1.0
aku hari ini mau vaksin 😣,1.0,3.0,0.0
"@AREAJULID Gw pribadi si percaya covid ada,krn blm lama ini bokap gw kena,dan isoman,tpi bahkan tidur aja batuk' trs gabisa tidur,emg virusnya ada dan ya ngejangkit,malah setelah dibawa ke dokter dksih obat dri sana ga lama sembuh",3.0,3.0,0.0
"Sekda Dewa Indra Targetkan Satu Sekolah Tuntaskan Layanan Vaksinasi Anak 12-17 Tahun dalam Dua Hari
 #Buleleng #Covid19 #DewaIndra #SMANegeri3Singaraja #SMKNegeri3Singaraja #SMPNegeri4Singaraja #Vaksin #VaksinCovid19

https://t.co/CPg1VCu3ze https://t.co/jTYbNQCzsT",1.0,3.0,0.0
"Yang kerja jadi nakes di tololin sama yang ga percaya covid, pada ngamuk semua yang percaya covid

Saya ga pakai masker di tololin orang yang percaya covid, di bentak-bentak, santai aja tuh saya pura-pura tuli aja

Mau sehat ya jasmani sama rohani juga harus sehat",2.0,3.0,1.0
Sekarang siapapun yang meninggal di covid kan.. Mau swab negatif positif kalo meninggal tetep dicovid in,3.0,1.0,1.0
"@DhafanRB @ridwankamil Cafe nya sudah sesuai aturan dan proses. Kursinya di ambil satpol pp, nah nanti yg mau ngambil berkerumun dikantor satpol pp atau dikelurahan, 2 minggu kemudian covid naek lagi, ppkm lagi, terus weh kitu nepi firaun hirup deui",0.0,1.0,1.0
"@zeqhyros Patutlaaa depa yang buat memangla tak takutt. Tau kandungan katanya. Kalau vaksin tu dia yang buat, kemain dia promote sana sini suruh amik https://t.co/DK8F0HeFzu",3.0,3.0,1.0
"@wedeeswete @dinkesJKT @JSCLab Silakan pantau secara berkalau status vaksin jaki anda H+1, akan ada pilihan untuk daftar jadwal vaksin kembali, terima kasih.",1.0,3.0,0.0
"@mpusaong @infomalang Iya umum kak, ini untuk vaksin hari kamis dan jumat. Katanya 1000 kupon antrian, jadi nanti vaksinnya perhari 500 kuotanya. Tapi ya gitu resiko hehe",1.0,3.0,0.0
"@jillukba pernah bilang ""nanti ya nunggu selesai corona""
ternyata hubungan kita duluan yg usai wkakaaka",2.0,3.0,1.0
"@blogdokter Dulu yg jadi duit itu anti virus di komputer, virus dibikin lalu jual antivirusnya, dan bisa diupdate antivirusnya, 

Sekarang munculah Virus keluarlah Vaksin
.
Memang BISNIS
.
Cuan GEDE
Ada kesamaan ga ya cara kerjanya?🤔",3.0,1.0,1.0
"GIAT PELAKSANAAN OPERASI PENEGAKAN YUSTISI PPKM DARURAT, 7 WNA TERJARING MELANGGAR PROTOKOL KESEHATAN

Berita selengkapnya di https://t.co/ws9whbNwZZ https://t.co/jgGTxkLJTh",3.0,3.0,1.0
