tweetcreatedts,username,location,retweetcount,text,hashtags
2021-07-09 23:59:51,citayamcity1,citayam,0,Ppkm meresahkan https://t.co/rMVQWUQkoL,[]
2021-07-09 23:59:50,ahmad9108001,"DKI Jakarta, Indonesia",0,"@Rimbunsimatupa5 @Hannry888 @alisyarief @jokowi Perokes? 

Aturan yang muncul hanya musiman disaat moment tertentu. 

Apalgi koordinator ppkm opung yang tidak paham uu tentang sangsi dan hak",[]
2021-07-09 23:59:40,Info_BPN,Kota Balikpapan,0,Mendagri Tito: PPKM Darurat Luar Jawa - Bali untuk Menghindari Efek Ping Pong - https://t.co/1jTVXGbTj7 https://t.co/0UzlFSlyxH https://t.co/yCf5gaDmEQ,[]
2021-07-09 23:59:40,koniyarkoni,"Tomohon, Indonesia",0,"pelaksanaan PPKM darurat sudah tepat

Yuk Disiplin PPKM https://t.co/eo8iOpgHrz",[]
2021-07-09 23:59:40,BiawakGondrong,"Kota Medan, Sumatera Utara",0,"Rakyat menantikan Keberlanjutan Otonomi Khusus Papua.
Yuk Disiplin PPKM https://t.co/oa0IAZI5ut",[]
2021-07-09 23:59:38,Info_BPN,Kota Balikpapan,0,Ini Aturan Lengkap PPKM Darurat di 15 Kota Non Jawa-Bali News - CNBC Indonesia https://t.co/f2dnF2V34x https://t.co/5LqoXLWTPS,[]
2021-07-09 23:59:36,brimob_kaltim,"Balikpapan, Kalimantan Timur",0,"Sampaikan Protokol Kesehatan di Tengah PPKM, Patroli Brimob Kaltim Sambangi Jalan Cokro Samarinda Seberang https://t.co/rHnNs7FWA8",[]
2021-07-09 23:59:36,Info_BPN,Kota Balikpapan,0,"Batam dan Tanjungpinang Ditetapkan Daerah PPKM Darurat, Berlaku Mulai 12 Juli - https://t.co/lLRY0pD2gS - https://t.co/lLRY0pD2gS https://t.co/MhG7ugVfSD https://t.co/iXlR2cf6bp",[]
2021-07-09 23:59:34,PulauTidung123,Pulau Tidung,0,"Sosialisasi Inmendagri PPKM Darurat Kepada Pengelola Wisata, Penginapan dan Kuliner – Pemerintah Kabupaten Jember - Pemkab Jember https://t.co/F1rNhZgp5i",[]
2021-07-09 23:59:33,kabarterkini4,,0,Top 3 Berita Hari Ini: Kuota Pendakian Gunung Rinjani Turun Jadi 25 Persen Selama PPKM Mikro - https://t.co/1xt3mP2zh0 https://t.co/cEFBZ0pKLz,[]
2021-07-09 23:59:33,Yarkoni18,"Kota Manado, Sulawesi Utara",0,"PPKM solusi terbaik atasi pandemi

Yuk Disiplin PPKM https://t.co/932c3nh0yL",[]
2021-07-09 23:59:30,PRengasdengklok,,0,"Kapolsek Rengasdengklok Polres karawang Kompol Agus Setiawan, https://t.co/auGqsx9fP0. beserta Anggota Gabungan TNI-POLRI dan Satpol PP Melaksanakan Woro-woro Pemberlakuan PPKM Darurat menghimbau agar semua Pemilik Warung di Sekitar Lapangan Bojongtugu Segera Menutup Warungnya.
. https://t.co/JHBb2sjfM2",[]
2021-07-09 23:59:28,BiawakGondrong,"Kota Medan, Sumatera Utara",0,"Sambut Pelaksanaan PON XX Papua.
Yuk Disiplin PPKM https://t.co/z19OYOzNb7",[]
2021-07-09 23:59:25,PEDOMANMEDIA,"Makasar, Indonesia",0,"Ada PPKM Mikro, Pemerintah Tetap Isyaratkan Sekolah Tatap Muka di Luar Jawa-Bali https://t.co/KCkI2hBn4T",[]
2021-07-09 23:59:25,Ferysplace,"Jakarta Utara, DKI Jakarta",2,"@SautSitinjak4 @PDemokrat Tanda2 partai udh tenggelam, apa aja disamber buat pegangan
Yuk Disiplin PPKM #terimakasihnakes #RakyatBersamaJokowi","[{'text': 'terimakasihnakes', 'indices': [104, 121]}, {'text': 'RakyatBersamaJokowi', 'indices': [122, 142]}]"
2021-07-09 23:59:20,HarusnyaAku_,"kintap, Tanah Laut,Banjarmasin",2,"Orang-orang sekarang udah kaya lebih hina dari penjahat dan koruptor. 
PPKM cuma menyekik rakyat kecil. Tolong lihat rakyat mu pak.
#BapakPresidenMenyerahlah
#LengserkanPakLurah
#MundurAjaPakde 
#BersamaUntukWarga 
#CegahLajunyaPandemi https://t.co/SoZY7POXip","[{'text': 'BapakPresidenMenyerahlah', 'indices': [132, 157]}, {'text': 'LengserkanPakLurah', 'indices': [158, 177]}, {'text': 'MundurAjaPakde', 'indices': [178, 193]}, {'text': 'BersamaUntukWarga', 'indices': [195, 213]}, {'text': 'CegahLajunyaPandemi', 'indices': [215, 235]}]"
2021-07-09 23:59:18,ilieinbed,"Adelaide, South Australia",0,@8Cnvrs Udh dilarang gowes ya selama PPKM?,[]
2021-07-09 23:59:14,lantasresclg,,0,"Revisi aturan WFO PPKM darurat sektor kritikal, esensial dan kontruksi berdasarkan instruksi Mendagri No.18 tahun 2021.

#rtmcpoldabanten 
#polres_cilegon 
#satlantasrescilegon 
#polres_cilegon https://t.co/7BRdCSV4sW","[{'text': 'rtmcpoldabanten', 'indices': [121, 137]}, {'text': 'polres_cilegon', 'indices': [139, 154]}, {'text': 'satlantasrescilegon', 'indices': [156, 176]}, {'text': 'polres_cilegon', 'indices': [178, 193]}]"
2021-07-09 23:59:13,AkuMitun,"Jawa Timur, Indonesia",0,"PPKM 
Pura pura kangen mantan 
😄😄",[]
2021-07-09 23:59:10,GitaAmanyyy,Pontianak,0,"Lagi masa pandemi malah korupsi, Yuk Disiplin PPKM
https://t.co/0cYy9DfOFp",[]
2021-07-09 23:59:00,OfficialiNewsTV,iNews Tower ,1,"Mulai 12 Juli, Ini Fakta-Fakta PPKM Luar Jawa-Bali  https://t.co/d56dNRAiGT",[]
2021-07-09 23:58:58,almonxx,,0,"@Sunda_Fess Mending Hees we diimah. PPKm kieu,stay safe teu Jang sorangan ge sing karunya ka batur ...",[]
2021-07-09 23:58:55,PKaliangkrik,"Magelang, Jawa Tengah",0,"MARI BERPERAN AKTIF DALAM MELAKSANAKAN PPKM DARURAT

Kami menghimbau kepada seluruh masyarakat selama pelaksanaan PPKM DARURAT agar selalu mematuhi Aturan Pemerintah dan Protokol kesehatan 5M.
#VaksinasiPPKM5M
#AyoTaatiPPKM #TetapDirumahSaja #Ingat5M #bersatulawancovid19 https://t.co/Ha24eI67Hk","[{'text': 'VaksinasiPPKM5M', 'indices': [193, 209]}, {'text': 'AyoTaatiPPKM', 'indices': [210, 223]}, {'text': 'TetapDirumahSaja', 'indices': [224, 241]}, {'text': 'Ingat5M', 'indices': [242, 250]}, {'text': 'bersatulawancovid19', 'indices': [251, 271]}]"
2021-07-09 23:58:55,nikmatussss_,,0,"@ooichayangituya 2021 PPKM
 ""Perbanyak Pergi Ke Masjid :)"" wkw",[]
2021-07-09 23:58:50,AnggaPu71307693,,1,@Mdy_Asmara1701 Mohon pencerahan apa yg harus kami perbuat dari yg saya yakini bahwa d Banda Aceh bakal terjadi ketidak Adilan dalam penerapan PPKM. PKL cuma blh melayani pembeli  sampai pukul 20.00 semntara restoran boleh melayani pembeli 24 jam.,[]
2021-07-09 23:58:45,aliwangi,,0,@memory_usang @lakitulenbukan @eko_kuntadhi Kelamaan kl cuma 1... Seandainya bisa 10-20 per hari... Indonesia bakal damai stlh PPKM...,[]
2021-07-09 23:58:41,Rocho60462278,"Yogyakarta, Indonesia",0,"Dulung PPKM

Yuk Disiplin PPKM https://t.co/XxsxicCcbH",[]
2021-07-09 23:58:41,koniyarkoni,"Tomohon, Indonesia",0,"PPKM darurat cara trbaik tekan penyebaran covid19

Yuk Disiplin PPKM https://t.co/0NzFQnNc6J",[]
2021-07-09 23:58:29,Yarkoni18,"Kota Manado, Sulawesi Utara",0,"yang lagi dirumah, tenang aja, Pemerintah sediakan bansos selama PPKM

Yuk Disiplin PPKM https://t.co/3Fso6pek7q",[]
2021-07-09 23:58:19,helobrowww,Bandung,0,@eventyrcpl Iyak kan lagi ppkm,[]
2021-07-09 23:57:45,Ferysplace,"Jakarta Utara, DKI Jakarta",0,"@IskandarKen1 @PDemokrat PD, blebek... blebek...
Yuk Disiplin PPKM #terimakasihnakes #RakyatBersamaJokowi","[{'text': 'terimakasihnakes', 'indices': [67, 84]}, {'text': 'RakyatBersamaJokowi', 'indices': [85, 105]}]"
2021-07-09 23:57:44,GarutIklan,Garut,0,Dinas Ketahanan Pangan Kab. Garut Salurkan Beras CPPD Dimasa PPKM Darurat https://t.co/7oZubzGszm,[]
2021-07-09 23:57:43,difa_OHC,Jakarta Capital Region,1,"Dokmin sedih loh, PPKM datang lagi. Bukan sedih karena gak mau angka covid turun, tapi sedih karena “anjuran ke dokter gigi kembali ke kasus2 emergency atau darurat saja”

Iya kalau emergencynya karena trauma, dll. Nah emergency yg umum terjadi adalah sakit gigi tak tertahankan. https://t.co/KuZNEeKCDV",[]
2021-07-09 23:57:36,BiawakGondrong,"Kota Medan, Sumatera Utara",0,"KST Papua Melakukan Pelanggaran HAM.
Yuk Disiplin PPKM https://t.co/RRTCv2cUOn",[]
2021-07-09 23:57:27,xiyeaon,ND.  KINGS COUNTY.  ,0,@chaewonele Mending deketan tapi jaga jarak 1 KM karena kita lagi PPKM.,[]
2021-07-09 23:57:24,BiawakGondrong,"Kota Medan, Sumatera Utara",0,"Surat Perintah Pergantian Sekda Provinsi Papua yang aneh.
Yuk Disiplin PPKM https://t.co/aglkt1CuuH",[]
2021-07-09 23:57:20,shinigers,Japan,0,"PPKM, pria pencinta kamu dan mamamu https://t.co/WWFO8scDQZ",[]
2021-07-09 23:57:16,faruqsnd,"Blitar, indonesia",0,"lagi PPKM ""pripun penak e kulo manut""",[]
2021-07-09 23:57:07,raipathy,"DKI Jakarta, Indonesia",0,"https://t.co/85eTjKjYKS

Ustaz Das'ad Latief menjelaskan mengapa rumah ibadah, seperti masjid, tutup dan pasar boleh buka selama PPKM di Pulau Jawa dan Bali.",[]
2021-07-09 23:57:07,GitaAmanyyy,Pontianak,0,"Ayo KPK periksa Gubernur Papua, Yuk Disiplin PPKM
https://t.co/0DSE8B09aa",[]
2021-07-09 23:57:07,GarutIklan,Garut,0,"Bupati Rudy: PPKM Darurat, Warga Garut Harus Tetap Bisa Makan https://t.co/4eVEiBBmTu",[]
2021-07-09 23:57:00,LapakAndal,,0,"JUAL NETFLIX PREMIUM

SHARING 45k/bulan, 125/3 bulan
PRIVATE 175k/bulan

spotify disney hotstar apple music viu youtube go wetv grammarly hbo iqiyi nia ramadhani ardi bakrie narkoba baal ppkm basmi covid paspampres be ready indomy nyetrika choi san semester 5 farhan reyna inazuma https://t.co/zQgXr3AE4O",[]
2021-07-09 23:56:54,Sabdanewscom,tanah suci,0,Pekan Pertama PPKM Darurat Kasus Baru Covid-19 Di Jatim Berhasil Ditekan Tapi Mortalitas Naik https://t.co/UKlaf6s8hP,[]
2021-07-09 23:56:51,garisnyabiru,Buminya Allah,0,"@DraftAnakUnpad Jalannya pasti gelap nder. Resiko ditanggung sendiri. Apalagi lagi PPKM. Sabar aja. Ini juga pengen banget ke ngetrip bareng temen huhu :""",[]
2021-07-09 23:56:46,HanifTewe,"Sleman, Kalasan",0,Gara-gara ppkm rasanya waktu berjalan lambat sekali bgst,[]
2021-07-09 23:56:41,BiawakGondrong,"Kota Medan, Sumatera Utara",0,"TNI Polri harus Menindak Tegas KST Papua. 
Yuk Disiplin PPKM https://t.co/fBVwYoZbbB",[]
2021-07-09 23:56:37,morodjoyo,,1,"Pemimpin..
The Big of Contradictions...

PPKM....

Pak Pak Kapan Mundur...",[]
2021-07-09 23:56:35,BisniscomJatim,Jl Opak 1 Surabaya,0,Pemkot Malang Salurkan Bansos PPKM Darurat | https://t.co/mN0crfgQP4 https://t.co/VAwa7ODoGr,[]
2021-07-09 23:56:31,ade_es,JKT | BKS | CRD | SWG,0,"Reposted from @satuantugascovid19 Aturan Baru Work From Office Sektor Esensial dalam PPKM Darurat

--Kemnaker RI--

#sahabattangguh 
#satuantugascovid19 
#essensial 
#kritikal 
#ppkm 
#ppkmdarurat https://t.co/gKk3a2L3a6","[{'text': 'sahabattangguh', 'indices': [116, 131]}, {'text': 'satuantugascovid19', 'indices': [133, 152]}, {'text': 'essensial', 'indices': [154, 164]}, {'text': 'kritikal', 'indices': [166, 175]}, {'text': 'ppkm', 'indices': [177, 182]}, {'text': 'ppkmdarurat', 'indices': [184, 196]}]"
2021-07-09 23:56:30,BiawakGondrong,"Kota Medan, Sumatera Utara",0,"Usut Mega Korupsi yang dilakukan Lukas Enembe.
Yuk Disiplin PPKM https://t.co/NMrQMrkEpe",[]
2021-07-09 23:56:27,EksisSosmed,Sabang - marauke,3,"Pemborong &amp; Penimbun Handal... Biasa Orang Kayak Gini Kalo Di Film Survival Mati Duluan Karena Egonya
Yuk Disiplin PPKM #RakyatBersamaJokowi https://t.co/zLZ4tiF5wk","[{'text': 'RakyatBersamaJokowi', 'indices': [124, 144]}]"
2021-07-09 23:56:26,ceritabulanmei,,0,"Eh, selamat pagi. Happy weekend. Sudah sarapan belum? Karena ppkm, ngapel virtual aja ya nanti malam. Jangan lupa prokes nya 😊",[]
2021-07-09 23:56:23,dheaurilla,,0,"Hari Sabtu masih harus ke kantor, apa itu PPKM? 🙃",[]
2021-07-09 23:56:10,dhanyfir,"Kota Surabaya, Jawa Timur",0,seru banget ga ada ppkm di negaranya https://t.co/Nisfw96j6a,[]
2021-07-09 23:55:56,azumi_tsuyoshie,"Tokyo-to, Japan",0,@geloraco berisik ah lagi ppkm nih,[]
2021-07-09 23:55:47,niadap,,0,@ramadhatia @mandaawdy1 Ppkm gbs liburan. Netplikan aja,[]
2021-07-09 23:55:44,lip_serpis,,0,"@K1_7123J0 @ronavioleta percuma ada PPKM, selama TKA China masuk terus. Sampai kiamat",[]
2021-07-09 23:55:37,BiawakGondrong,"Kota Medan, Sumatera Utara",0,"berantas Mafia Obat/Farmasi Dimasa PPKM Darurat.
Yuk Disiplin PPKM https://t.co/ecY56dGJrM",[]
2021-07-09 23:55:34,KodimBuletin,"Bantul, Indonesia",0,Batituud Koramil 01/Bantul Serma Haryadi mewakili Komandan Koramil 01/Bantul menghadiri rapat koordinasi dalam rangka pembahasan pelaksanaan darurat PPKM mikro dari tanggal 3 sampai dengan 20 Juli 2021 yang sudah disampaikan melalui Inbup no.17 https://t.co/BIFSP1GxaS,[]
2021-07-09 23:55:32,dengarLarakuu,Daerah Istimewa Yogyakarta ,0,"10 juli 🌹
hariini adalah hari ulang tahun bapak, sayang 1 tahun yg lalu beliau pergi kembali menghadap Bapa. pak hariini aku belum bisa mengujungi makam bapak lagi, karena masi ppkm. damai bersama para kudus di surga pak e, miss u🥀",[]
2021-07-09 23:55:19,BiawakGondrong,"Kota Medan, Sumatera Utara",0,"Dana Bansos Penerapan PPKM Darurat.
Yuk Disiplin PPKM https://t.co/NrSqOnxp0w",[]
2021-07-09 23:55:08,BeritaKodim,,0,Batituud Koramil 01/Bantul Serma Haryadi mewakili Komandan Koramil 01/Bantul menghadiri rapat koordinasi dalam rangka pembahasan pelaksanaan darurat PPKM mikro dari tanggal 3 sampai dengan 20 Juli 2021 yang sudah disampaikan melalui Inbup no.17 https://t.co/TwwPdpITv8,[]
2021-07-09 23:55:08,ayunita_aulia,,0,Karena Penyekatan ini merupakan pendukung dari kebijakan PPKM Darurat ini loh!,[]
2021-07-09 23:55:04,UpdateBPN,,0,"PPKM Darurat di Balikpapan, 10 Titik dari 5 Ruas Jalan Utama Ditutup - https://t.co/R90SeoOGiz - https://t.co/YOyDPAbsJP https://t.co/cZ8VLhhM3q",[]
2021-07-09 23:54:58,polseksetu2,,0,Pelaksanaan Ops Yustisi dan penegakan aturan PPKM Darurat di kedai kafe altar jln raya Setu Desa Ciledug kec setu https://t.co/MZDLDNt8Wb,[]
2021-07-09 23:54:49,sopieaprilia,"Magetan, Indonesia",0,"PPKM
(Para Pemuda Kentekan Money)",[]
2021-07-09 23:54:42,gowestid,Indonesia,0,Pasal Pidana UU Kekarantinaan dan KUHP Menanti Pelanggar PPKM Darurat https://t.co/u0t6Ak8dII,[]
