text,context,intent,sentiment
"Pengen ngupil tp lg ngantri vaksin, yakali gua buka masker. Deuh gatel bat ini😭",1,1,2
"@Arry288 @hesti_09 @F_3_NDY Boleh share berita nya pak, yg bilang klo vaksin cina bikin tambah parah?",1,5,2
"Mengalami sendiri ada anggota keluarga yg bebal terhadap covid kalo sakit covid dibuat demi rupiah. Hellaaww, iya emang ada oknum oknum yg jahat cari keuntungan tapi covid itu nyata.. sungguh punya keluarga yang paham apa itu covid adalah privilege 🙃",2,1,2
PPKM Darurat Dongkrak Popularitas Anies Baswedan Buat Modal Capres 2024 https://t.co/HE3YlSFSJs lewat @Teropongmetro,0,3,2
"Klo loe kena flu.. Pilek sama demam itu gejlaa flu apa flu? Klo loe obatin demam dan pileknya sampe sembuh flu nya sembuh g? Jadi waktu loe ngobatin gejala flu loe sama dg ngobatin flu apa engga? 
Coba terapkan di covid... 
Gmn @tirta_hudhi ?",2,1,2
@bertanyarl gpp bu mana baiknya aja tp kalo bisa yg kekurangan finansial di kasih sembako or semacam nya gitu. mau ppkm selamanya jg kalo rakyat terjamin g akan ada yg protes.,0,0,0
"@DarmawatiDe @MichaelHarto77 Nyonya @AnnisaPohan  si cantik centil ini sok pintar...  Lupa dia Kalau @KemenkesRI  sudah tau duluan tentang SOP nya #Vaksin ini.
KARENA pabrik Vaksinnya di Sana pasti menjelaskan apa-apa tentang Vaksin ini..!!

Kalau #SokTerlaluPintar itu #TidakBaik,  #TuhanTidakSuka..!!",1,0,2
Kan dah kantoi berapa ramai potong queue vaksin 🙃,1,4,2
"Pada kesempatan itu, Sigit juga kembali sosialisasikan pentingnya kebijakan pemberlakuan pembatasan kegiatan masyarakat (PPKM) darurat loh!",0,3,2
"Haloo @jruknipis 😃👋 Selamat membaca!
""Dalam dialog dengan para ulama dan tokoh agama Islam terkait pelaksanaan Pemberlakukan Pembatasan Kegiatan Masyarakat (PPKM Darurat) saya sampaikan bahwa pemicu tingginya kenaikan kasus C..."" https://t.co/ZiYtSXE0P9",0,3,2
@afrkml jadi tetep lanjutin aja ners? berarti adik saya total dapat 3x suntikan vaksin ga bahaya? katanya kelebihan dosis vaksin juga ga bagus,1,5,2
Akhirnya besok kebagian jadwal Vaksin dari kantor. 💉,1,0,0
