text,context,intent,sentiment
"uda enak loh anak sd smp vaksinnya terjadwal pertiap sklh &amp; ada jamnya jg. tp masi ada aja ortu yg ga bijak, ga setuju anaknya divaksin dgn 1000 alasan 😭🤏🏻
nnti giliran anaknya gbisa naik kendaraan umum, baru bingung deh tu cari tempat vaksin
yuk bisa yuk jd ortu yg pinter 👉👈",1,1,1
"@atikahzhr Dia dokter tapi nggak percaya covid, dia bilang pasien yg meninggal itu karena interaksi obat",3,1,2
Ramai dah kawan-kawan sebaya saya dapat vaksin. Mak saya bila ya? 😢 Kena update apa-apa ke dekat mysejahtera?,1,1,2
@febridiansyah Untuk selanjutnya  vaksin anti buzzerpnya 1 dosis cukup uda..,1,2,0
@IAmirJaafar Kan. Satunya maybe sebab kita daftar awal sangat so nama kita dah terlampau jauh. Tu sebab lambatlah kita dapat tarikh vaksin.,1,4,2
"@Syarman59 @LsOwien @DivHumas_Polri @satgascovid19id @KemenkesRI @PBIDI dokter"" dan orang"" sejenis..
gak perlu dihukum kurungan..
habis""in anggaran..

Hukuman sosial dg kerja di sentral"" RS Covid..atau penggali kubur lebih manfaat",2,1,2
"@FerdinandHaean3 @ridwankamil Udah dari dulu Bang praktek pungli. Sblm pandemi, sy ngubur abang sy Di pondok rangon, ada perbedaan harga muslim dan non muslim. 
Nasib minoritas ya gtu Bang, agamanya ditandain, duitnya diambilin. Coba seandainya kejadian ini dibalik, udah pasti demo berjilid2.",2,1,2
"PPKM Darurat Langkah Tepat Tekan Kasus Penularan Covid-19

PPKM Sudah Tepat https://t.co/GFEauUCmfF",0,3,0
"@RiaaaGirlsss Masak, nanem sm tiktokan gais. Kelar PPKM jd glowing gais hahaha",3,4,2
"Alhamdulillah. Family seremban semua dah dapat date vaksin termasuk adik bongsu umur 19tahun. 

#NoKabel",1,4,0
"@lizaariani5 @drpriono1 @KemenBUMN @jokowi @erickthohir Sebaiknya mbak liza guggling dulu. 
Keyword antri vaksin, atau vaksin gratis terbatas, atau masyarakat kecewa vaksin habis dll. 
Baru nanti kita lanjutkan obrolan ini ya. https://t.co/3XjlP2tomm",1,2,0
"@star_swxt hehe iya, kmu dah vaksin blm?",1,4,0
@psnghwaaw Sarapanya ppkm wkwkwk,3,4,2
Euy Gasibu ppkm gini ada yg jualan ga,3,4,2
